id,cylinders,displacement,horsepower,weight,acceleration,model year,origin,car name,mpg
0,8.001999936,308.7639152,140,2682.667484,13.36115865,79.00082039,0.998000049,mercury cougar brougham,17.78640065
1,8.001999924,421.5573791,220,2160.223156,9.672328937,70.6230254,0.998000019,datsun 710,17.19467934
2,4.001999828,95.3826971,70,1861.75256,17.54412972,81.41651323,0.998000217,peugeot 504,36.18057496
3,4.001999955,133.990715,85,2315.15811,15.46676822,76.03841446,2.998000099,datsun 210 mpg,35.71878793
4,8.001999602,328.2545447,150,4219.526213,15.26457697,75.23848879,0.998000315,triumph tr7 coupe,17.41511253
5,4.001999371,133.1891527,97,1838.412861,15.30347653,81.84916878,0.998000231,pontiac astro,35.45586806
6,4.001999841,128.4790763,112,3132.17478,13.55050218,75.51951213,0.998000174,saab 99le,23.61584014
7,6.001999935,92.5738439,97,3150.934748,15.3300392,78.00087657,0.998000332,toyouta corona mark ii (sw),22.86554992
8,8.001999781,323.8632088,150,3951.623039,13.19733323,76.31232554,0.99800146,ford ltd,17.44068726
9,4.001999796,99.73931405,60,2190.679793,15.07056491,81.70842077,0.998000134,peugeot 504,36.46326008
10,4.001999493,140.1556652,100,3789.576787,13.6201481,82.01250073,1.998000236,buick century limited,35.26066193
11,6.001999628,231.576983,100,3204.332865,13.35859611,71.49730184,0.998000292,chevrolet nova,23.00190632
12,4.001999794,97.28329812,70,1874.979765,15.14229887,81.62801008,0.998000203,peugeot 504,36.44652665
13,8.001999383,331.044962,150,2173.900518,13.42527984,73.78071784,0.998000181,dodge rampage,17.34950064
14,8.001996356,421.1502147,100,2164.689146,9.653636605,70.61006177,0.998000381,datsun 710,17.7046976
15,4.001995247,405.3220856,85,3179.832552,17.34845454,70.82623311,0.998000156,honda civic 1300,22.80335153
16,4.001999928,87.1638002,120,2088.595599,17.83012686,76.15606849,0.998000101,dodge monaco brougham,44.59710584
17,8.001999179,410.7111383,85,3168.073852,17.27829296,70.66832171,0.998000302,datsun 510 (sw),17.82568619
18,6.001998558,399.9968183,85,3176.325025,17.54124782,76.23432878,0.998000221,dodge monaco brougham,23.04113907
19,4.001999867,95.97593702,100,2150.96323,15.3115601,76.03537489,0.998000177,chevrolet nova,22.71352156
20,4.001999466,126.6714854,150,2065.621537,13.32712907,70.82341566,0.998000239,vw rabbit,28.86396159
21,4.001999898,136.3879887,?,1744.279875,19.71061915,77.23541816,0.998000176,vw rabbit,28.10157511
22,6.001999074,87.2599847,139,2160.857167,13.24378338,78.00089658,0.998002447,ford futura,23.25354636
23,4.001999814,88.00548192,120,2737.589514,17.86535654,77.75376089,0.998000124,dodge monaco brougham,27.99800621
24,4.001999919,98.0629628,90,2638.857093,15.48593963,79.00100902,0.998000019,ford pinto,35.3198356
25,4.00199981,135.5390705,?,1751.059518,20.30640023,76.93912094,0.998000044,vw rabbit,28.28397454
26,8.001999841,342.9684873,150,4223.475671,13.50795268,74.09386664,0.99800021,dodge rampage,17.53764883
27,4.001999976,129.8843251,150,2640.91575,13.4933211,75.90899601,0.998000547,peugeot 505s turbo diesel,17.47021172
28,6.001999752,145.8317952,108,2171.512404,13.34819712,76.98473623,2.998001495,audi 5000s (diesel),23.28420443
29,4.001999686,140.4664074,97,3188.954858,15.57935539,82.12453896,0.998000512,peugeot 505s turbo diesel,27.6446172
30,4.00199986,101.8096158,90,2689.605883,15.53298918,79.00091667,0.998000036,ford pinto,28.44424255
31,6.001999625,134.5000781,108,2172.937564,13.34467738,77.08541857,2.998000634,audi 5000s (diesel),17.88392911
32,4.001999994,129.6081295,85,4072.179215,15.10817664,71.09747775,0.998000043,buick regal sport coupe (turbo),35.6710094
33,4.001999728,96.63365715,70,1875.468713,15.13959387,81.61645562,0.998000275,peugeot 504,36.30724791
34,4.001999771,91.3406267,120,2105.023184,15.49356298,77.67510625,0.998000484,dodge monaco brougham,28.89154721
35,4.001999809,97.21744439,70,1886.722955,15.14002595,81.60045659,0.998000291,peugeot 504,36.34594508
36,4.001999956,144.172713,90,3259.15674,15.45533247,81.01707824,0.998000685,saab 99le,28.22603566
37,4.001999867,87.65439924,?,2148.975236,17.88695728,81.61100557,0.998000163,ford pinto,44.60338841
38,4.001999954,127.5103481,150,2075.871656,13.39168734,70.73107629,0.998000074,datsun pl510,28.45146413
39,4.001994699,136.603816,100,3779.123974,13.60740094,82.23716101,1.998000215,buick century limited,36.32549619
40,4.001999783,95.38260567,70,1887.98791,15.13579646,81.62171858,0.99800022,peugeot 504,36.46446097
41,4.001999913,138.2045923,97,2658.407238,19.99263501,75.84233758,2.99800041,chevrolet monza 2+2,27.69288368
42,6.001999332,151.3944301,108,2168.929894,13.28707678,76.98163217,2.998000338,audi 5000s (diesel),23.13302878
43,4.001999957,92.66606677,97,3197.971437,15.5093516,81.39947339,0.998000106,toyouta corona mark ii (sw),28.7624228
44,4.001999133,129.0140663,112,1714.444811,13.52407689,75.57743093,1.998001073,ford futura,23.5663156
45,4.001999596,97.26664832,70,1886.879276,15.13567404,81.62582837,0.998000278,peugeot 504,36.56001997
46,4.001999716,96.31262359,122,2641.581424,13.57257991,71.07515114,1.998000203,buick skyhawk,28.48237252
47,4.001999906,144.3744693,90,3274.36386,15.48931055,80.74648291,2.998001011,datsun 810 maxima,35.3033363
48,4.001999687,101.111976,60,2097.125896,15.00574393,81.55187169,2.998001256,datsun 200sx,36.72344683
49,4.001999974,141.984792,97,2147.13202,19.53816787,75.48594376,0.998000738,buick century limited,23.00751967
50,8.001999939,311.3841892,140,2745.959203,13.38940047,79.00083997,0.998000056,plymouth reliant,17.48152334
51,8.001996518,311.746659,148,3809.172214,17.43566696,76.42954395,0.998000936,ford ltd,18.09432195
52,4.001999222,86.67287362,150,2075.570375,13.30705198,70.6546505,0.998000231,honda civic 1300,28.92791356
53,4.001999973,141.3316622,90,2142.230816,17.81462216,71.00434199,0.998000018,opel 1900,28.5618113
54,4.001999242,138.1297764,97,3190.575102,15.5561521,82.10358486,0.998001276,peugeot 505s turbo diesel,27.3393146
55,4.001999798,98.47409894,60,2111.158736,15.00730232,81.56500414,2.998000068,datsun 200sx,36.71246423
56,4.001999429,86.5470527,71,2723.364744,15.39709169,81.89889488,0.998000042,datsun 200-sx,35.67394771
57,8.001999936,308.1605689,140,2190.616022,13.35238339,79.0006845,0.998000238,mercury cougar brougham,17.90593671
58,4.00199965,137.0864362,72,2192.156838,17.46089496,74.95976785,0.998000282,toyouta corona mark ii (sw),27.69958168
59,6.001999933,291.9049493,71,4331.577581,19.79251298,76.72279967,0.998000036,triumph tr7 coupe,17.89579306
60,4.001999804,98.21594871,70,2173.888666,15.39035663,77.41212361,0.998000487,dodge monaco brougham,36.23717365
61,4.001999941,102.114998,69,3955.158935,15.46683932,75.46846381,0.998000352,ford pinto,36.07933034
62,4.001999934,101.8733969,90,2650.216806,15.53758073,79.0009853,0.998000013,ford pinto,28.49537368
63,4.001999795,95.66833929,60,2148.527676,15.02097128,81.55885699,2.998000126,datsun 200sx,36.72696114
64,4.001999804,99.96754251,70,1900.932768,15.08141317,81.41743695,0.998001429,peugeot 504,36.51500472
65,4.001999829,140.4667047,100,2728.41479,15.45994286,79.00076807,2.998000319,datsun 210 mpg,35.50049129
66,8.001999808,314.7856473,220,2663.605558,13.32368475,75.70974202,0.99800021,amc matador,17.33419388
67,4.001999872,97.10622976,70,1884.007301,15.14730382,81.60488682,0.998000178,peugeot 504,36.41244243
68,4.001999923,91.74894866,150,2139.654345,13.44785012,75.60971162,0.998000142,ford pinto,27.95725602
69,4.001999953,135.5119901,100,2193.914373,15.41225028,79.0010832,0.998000258,chevrolet nova,23.52501237
70,4.001999612,136.1167083,?,2132.183152,17.94043322,82.13588675,1.998000078,datsun 200-sx,28.65658089
